Pattern,Data Graph,Num Results,CPU Time (sec),Peak Memory (MB)
SP1,attack,0,135.639,584.01171875
SP1,mix,0,180.981,788.5390625
SP1,benign,0,49.9847,211.1875
SP2,attack,226,46.0142,583.98828125
SP2,mix,189,62.911,790.0625
SP2,benign,0,16.9554,211.87109375
SP3,attack,0,655.699,583.6875
SP3,mix,0,723.904,797.125
SP3,benign,0,546.166,212.55859375
SP4,attack,0,76.2955,583.9921875
SP4,mix,48,102.148,790.08984375
SP4,benign,0,26.9762,211.87109375
SP5,attack,3,60.6373,584.00390625
SP5,mix,3,96.6111,801.0703125
SP5,benign,0,32.6178,254.87109375
SP6,attack,0,82.3897,583.828125
SP6,mix,0,112.881,793.078125
SP6,benign,0,31.6729,212.88671875
SP7,attack,983,68.507,607.90625
SP7,mix,2621,144.013,914.08203125
SP7,benign,0,22.6828,211.875
SP8,attack,1000,49.5067,597.37890625
SP8,mix,1443,72.2109,825.08203125
SP8,benign,0,16.6679,211.8671875
SP9,attack,299,55.7289,590.90234375
SP9,mix,329,81.1766,808.06640625
SP9,benign,0,19.7576,212.8671875
SP10,attack,5,55.2186,583.984375
SP10,mix,9,75.1002,791.06640625
SP10,benign,0,19.909,211.29296875
SP11,attack,0,59.9229,583.984375
SP11,mix,0,101.772,792.08203125
SP11,benign,0,21.8023,212.875
SP12,attack,9,24.325,583.98828125
SP12,mix,12,32.8576,790.0625
SP12,benign,0,8.82252,211.8671875
DP1,dd1,0,14154.9,2119.1484375
DP1,dd2,2,7281.11,2270.08203125
DP1,dd3,0,38950.1,2513.109375
DP1,dd4,0,27482.5,3507.3828125
DP2,dd1,0,480.817,1929.4296875
DP2,dd2,0,511.437,2086.05859375
DP2,dd3,0,572.764,2284.7578125
DP2,dd4,0,805.94,3216.46875
DP3,dd1,0,748.319,1932.8046875
DP3,dd2,0,784.016,2090.05078125
DP3,dd3,0,910.671,2290.08984375
DP3,dd4,0,1292.94,3221.56640625
DP4,dd1,0,341.244,1931.4296875
DP4,dd2,0,387.55,2091.0703125
DP4,dd3,0,480.903,2306.41015625
DP4,dd4,0,667.244,3236.41015625
DP5,dd1,0,557.877,1934.81640625
DP5,dd2,0,597.711,2090.078125
DP5,dd3,0,667.624,2290.3984375
DP5,dd4,0,995.143,3231.44921875
