Pattern,Data Graph,Num Results,CPU Time (sec),Peak Memory (MB)
DP2,dd1,0,28.2246,1929.92578125
DP2,dd2,16,30.6531,2086.04296875
DP2,dd3,0,33.7094,2284.4609375
DP2,dd4,0,46.9022,3216.703125
DP3,dd1,0,812.721,1935.796875
DP3,dd2,0,170.997,2087.75390625
DP3,dd3,4,2162.74,2289.57421875
DP3,dd4,4,1734.08,3223.3671875
DP4,dd1,0,326.854,1932.7734375
DP4,dd2,0,1051.5,2092.48828125
DP4,dd3,0,3732.97,2320.38671875
DP4,dd4,4,8966.51,3252.77734375
DP5,dd1,0,14962.9,1939.99609375
DP5,dd2,0,5546.63,2091.0625
DP5,dd3,0,6029.03,2291.43359375
