Pattern,Data Graph,Num Results,CPU Time (sec),Peak Memory (MB)
SP1,attack,1,22.0984,557.0
SP1,mix,1,311.4907,766.0
SP1,benign,0,8.1969,205.0
SP2,attack,226,3.9852,558.0
SP2,mix,189,5.4281,767.0
SP2,benign,0,1.4437,206.0
SP3,attack,8,550.7323,559.0
SP3,mix,0,11406.2192,770.0
SP3,benign,0,507.7756,206.0
SP4,attack,0,4.6627,558.0
SP4,mix,84,6.347,767.0
SP4,benign,0,1.7937,206.0
SP5,attack,6,33.8789,560.0
SP5,mix,5,235.83,770.0
SP5,benign,0,642.7899,206.0
SP6,attack,5,13.691,560.0
SP6,mix,23,33.7128,769.0
SP6,benign,0,20.3436,206.0
SP7,attack,1663,18.1458,573.0
SP7,mix,5201,371.7557,800.0
SP7,benign,0,2.2314,206.0
SP8,attack,1000,6.3598,559.0
SP8,mix,1443,15.0144,769.0
SP8,benign,0,6.5913,205.0
SP9,attack,385,22.9804,561.0
SP9,mix,445,4828.1825,770.0
SP9,benign,0,4.2599,206.0
SP10,attack,8,4.9031,559.0
SP10,mix,12,8.1944,768.0
SP10,benign,0,2.4278,206.0
SP11,attack,9,9.3245,559.0
SP11,mix,12,33.0448,768.0
SP11,benign,0,26.3329,206.0
SP12,attack,9,3.1453,559.0
SP12,mix,12,5.2721,768.0
SP12,benign,0,1.913,206.0
DP2,dd1,0,25.138,1878.0
DP2,dd2,16,27.8921,2032.0
DP2,dd3,0,29.8707,2225.0
DP2,dd4,0,42.4109,3132.0
DP3,dd1,0,788.6766,1882.0
DP3,dd2,0,165.2404,2031.0
DP3,dd3,4,2136.132,2229.0
DP3,dd4,4,1700.6102,3136.0
DP4,dd1,0,325.6504,1881.0
DP4,dd2,0,978.6793,2032.0
DP4,dd3,0,3563.9639,2221.0
DP4,dd4,4,8164.8474,3144.0
DP5,dd1,0,11741.9082,1882.0
DP5,dd2,0,4612.5538,2028.0
DP5,dd3,0,4810.0278,2227.0
DP5,dd4,22525776,461356.0164,77495428.0
