Pattern,Data Graph,Num Results,CPU Time (sec),Peak Memory (MB)
SP1,attack,1,18.9788,583.22265625
SP1,mix,1,249.026,789.6171875
SP1,benign,0,7.67531,211.96875
SP2,attack,226,4.00626,583.98828125
SP2,mix,189,5.48929,790.0703125
SP2,benign,0,1.43355,211.90234375
SP3,attack,8,529.765,583.62890625
SP3,mix,0,9040.99,795.6796875
SP3,benign,0,501.968,211.5546875
SP4,attack,0,4.63926,584.015625
SP4,mix,84,6.10772,788.74609375
SP4,benign,0,1.77824,211.92578125
SP5,attack,6,24.8571,583.375
SP5,mix,5,150.466,793.08984375
SP5,benign,0,474.045,253.90234375
SP6,attack,5,10.9449,584.01953125
SP6,mix,23,25.2358,792.11328125
SP6,benign,0,13.0525,211.92578125
SP7,attack,1663,11.9681,587.91015625
SP7,mix,5201,261.633,826.09375
SP7,benign,0,2.16052,211.91015625
SP8,attack,1000,5.7164,583.34375
SP8,mix,1443,12.3885,791.9765625
SP8,benign,0,4.2498,211.74609375
SP9,attack,385,16.8878,583.99609375
SP9,mix,445,3319.19,796.0859375
SP9,benign,0,3.43703,211.90625
SP10,attack,8,4.53299,583.80859375
SP10,mix,12,7.37071,790.0703125
SP10,benign,0,1.92784,211.90625
SP11,attack,9,7.76617,584.0078125
SP11,mix,12,24.8008,791.125
SP11,benign,0,16.7893,211.1796875
SP12,attack,9,3.00411,583.96484375
SP12,mix,12,4.6879,790.046875
SP12,benign,0,1.54309,211.87890625
