Pattern,Data Graph,Num Results,CPU Time (sec),Peak Memory (MB)
SP1,attack,1,177.636,583.98828125
SP1,mix,1,948.918,790.578125
SP1,benign,0,60.5708,211.8984375
SP2,attack,226,49.9365,583.9609375
SP2,mix,189,67.4383,790.046875
SP2,benign,0,17.823,211.859375
SP3,attack,8,706.121,583.65234375
SP3,mix,0,9606.14,795.73046875
SP3,benign,0,577.937,211.5703125
SP4,attack,0,78.6777,583.95703125
SP4,mix,84,107.307,789.05859375
SP4,benign,0,28.7875,211.87890625
SP5,attack,6,84.0266,582.94921875
SP5,mix,5,233.289,791.6484375
SP5,benign,0,491.888,253.8671875
SP6,attack,5,95.2431,583.95703125
SP6,mix,23,136.454,791.046875
SP6,benign,0,42.9064,211.8828125
SP7,attack,1663,74.8333,587.875
SP7,mix,5201,373.406,826.05859375
SP7,benign,0,24.8477,211.86328125
SP8,attack,1000,50.0085,583.9609375
SP8,mix,1443,71.7174,792.05078125
SP8,benign,0,20.3697,211.87109375
SP9,attack,385,70.2775,583.953125
SP9,mix,445,3359.53,794.77734375
SP9,benign,0,22.4591,211.359375
SP10,attack,8,57.1087,583.95703125
SP10,mix,12,84.117,788.80078125
SP10,benign,0,21.9874,211.859375
SP11,attack,9,65.2203,583.9453125
SP11,mix,12,107.583,790.52734375
SP11,benign,0,36.925,211.86328125
SP12,attack,9,24.984,583.78515625
SP12,mix,12,35.4899,789.02734375
SP12,benign,0,10.0302,211.85546875
